ID,Recipe ID,Ingredient ID,Weight
532,57,414,90.0
533,57,678,90.0
534,57,178,20.0
535,57,503,160.0
536,57,453,50.0
537,57,355,50.0
538,57,656,0.0
539,57,829,0.0
540,57,81,5.0
541,57,132,0.0
542,58,313,250.0
543,58,839,150.0
544,58,738,100.0
545,58,831,5.0
546,58,315,120.0
547,58,355,25.0
548,58,527,17.0
549,58,656,0.0
550,58,829,0.0
551,58,486,0.0
552,59,682,360.0
553,59,13,125.0
554,59,755,4.0
555,59,555,8.0
556,59,656,0.0
557,59,829,0.0
558,59,388,0.0
559,59,505,0.0
560,59,338,0.0
561,60,672,160.0
562,60,831,20.0
563,60,527,34.0
564,60,758,90.0
565,60,92,100.0
566,60,461,3.0
567,60,656,0.0
568,60,829,0.0
569,60,578,10.0
570,60,710,0.0
571,60,22,0.0
572,60,505,0.0
573,61,739,500.0
574,61,861,120.0
575,61,365,32.0
576,61,852,500.0
577,61,578,50.0
578,61,656,0.0
579,61,522,50.0
580,61,527,34.0
581,61,69,10.0
582,61,580,0.0
583,61,628,0.0
584,62,309,250.0
585,62,861,120.0
586,62,738,100.0
587,62,444,100.0
588,62,826,80.0
589,62,545,100.0
590,62,656,0.0
591,62,355,80.0
592,62,583,0.0
593,62,453,0.0
594,63,503,480.0
595,63,752,200.0
596,63,545,120.0
597,63,738,240.0
598,63,315,60.0
599,63,656,0.0
600,63,829,0.0
601,63,486,50.0
602,63,458,15.0
603,63,845,0.0
604,63,583,0.0
605,64,658,240.0
606,64,315,60.0
607,64,399,100.0
608,64,300,100.0
609,64,522,100.0
