ID,Recipe ID,Ingredient ID,Weight
294,31,370,8.5
295,31,547,0.0
296,31,696,0.0
297,31,20,50.0
298,31,482,50.0
299,32,257,125.0
300,32,263,60.0
301,32,378,50.0
302,32,437,25.5
303,32,547,2.5
304,32,696,0.0
305,32,321,0.0
306,32,420,0.0
307,33,15,150.0
308,33,208,100.0
309,33,528,125.0
310,33,437,17.0
311,33,420,100.0
312,33,86,50.0
313,33,487,0.0
314,34,387,60.0
315,34,241,100.0
316,34,522,75.0
317,34,442,25.0
318,34,527,10.0
319,34,403,10.0
320,34,698,5.0
321,34,696,0.0
322,34,547,0.0
323,34,487,0.0
324,35,560,75.0
325,35,30,50.0
326,35,134,17.0
327,35,520,50.0
328,35,382,50.0
329,35,370,8.5
330,35,698,2.5
331,35,547,0.0
332,35,696,0.0
333,35,487,0.0
334,36,172,120.0
335,36,615,50.0
336,36,382,25.0
337,36,145,5.0
338,36,653,5.0
339,36,698,2.5
340,36,547,0.0
341,36,696,0.0
342,36,321,0.0
343,37,15,150.0
344,37,210,100.0
345,37,608,50.0
346,37,411,25.0
347,37,263,90.0
348,37,418,80.0
349,37,365,50.0
350,37,297,12.5
351,37,698,2.5
352,37,696,0.0
353,37,653,0.0
354,38,332,100.0
355,38,431,97.5
356,38,482,37.5
357,38,57,0.5
358,38,263,60.0
359,38,435,2.5
360,38,437,0.0
361,38,484,0.0
362,39,418,40.0
363,39,417,20.0
364,39,321,16.0
365,39,51,60.0
366,39,442,10.0
367,39,297,20.0
368,39,177,20.0
369,39,91,200.0
370,39,263,30.0
371,39,698,2.5
372,39,442,20.0
373,39,437,17.0
374,39,547,2.5
375,39,696,0.0
376,40,260,170.0
377,40,9,62.5
378,40,535,25.0
379,40,561,0.0
380,40,482,2.5
381,40,437,25.5
382,40,547,0.0
383,40,696,0.0
384,40,487,0.0
385,41,184,187.5
386,41,482,45.0
387,41,431,195.0
388,41,437,17.0
389,41,484,0.0
390,42,100,150.0
391,42,172,250.0
392,42,442,40.0
393,42,342,45.0
394,42,544,15.0
395,42,698,7.5
396,42,637,15.0
397,42,80,250.0
398,42,437,17.0
399,42,274,1.5
400,42,547,0.0
401,42,696,0.0
402,42,487,0.0
403,43,91,200.0
404,43,240,37.5
405,43,263,90.0
406,43,418,40.0
407,43,479,16.0
408,43,557,25.0
409,43,51,60.0
410,43,547,0.0
411,43,696,0.0
412,43,124,1.0
413,44,657,200.0
414,44,418,120.0
415,44,560,125.0
416,44,637,30.0
417,44,442,40.0
418,44,263,30.0
419,44,437,17.0
420,44,432,24.0
421,44,547,0.0
422,44,696,0.0
423,44,596,0.5
424,44,487,0.0
425,45,706,100.0
426,45,66,50.0
427,45,172,120.0
428,45,342,45.0
429,45,442,40.0
430,45,653,10.0
431,45,437,10.0
432,45,547,0.0
433,45,695,0.0
434,45,274,1.0
435,45,80,1500.0
436,46,44,75.0
437,46,698,12.5
438,46,437,25.5
439,46,547,0.0
440,46,534,25.0
441,46,653,5.0
442,46,696,0.0
443,47,347,36.0
444,47,43,60.0
445,47,420,30.0
446,47,403,0.0
447,47,547,0.0
448,47,696,0.0
449,47,124,1.5
450,48,269,125.0
451,48,43,75.0
452,48,420,50.0
453,48,365,50.0
454,48,321,50.0
455,48,297,12.5
456,48,263,30.0
457,49,257,125.0
458,49,14,40.0
459,49,411,45.0
460,49,297,12.5
461,49,437,8.5
462,49,403,5.0
463,49,547,0.0
464,49,487,0.0
465,50,272,50.0
466,50,43,75.0
467,50,158,100.0
468,50,706,50.0
469,50,420,50.0
470,50,442,20.0
471,50,437,17.0
472,50,80,75.0
473,50,547,0.0
474,50,696,0.0
475,51,257,125.0
476,51,411,95.0
477,51,172,150.0
478,51,442,40.0
479,51,527,10.0
480,51,274,1.0
481,51,547,0.0
482,51,696,0.0
483,51,185,0.0
484,52,91,200.0
485,52,172,150.0
486,52,621,50.0
487,52,442,40.0
488,52,418,80.0
489,52,297,37.5
490,52,437,17.0
491,52,547,0.0
492,52,696,0.0
493,52,487,0.0
494,53,658,100.0
495,53,712,25.0
496,53,263,30.0
497,53,442,20.0
498,53,297,12.5
499,53,437,17.0
500,53,547,0.0
501,53,696,0.0
502,53,712,0.0
503,54,43,150.0
504,54,418,80.0
505,54,442,40.0
506,54,653,5.0
507,54,535,25.0
508,54,547,0.0
509,54,696,0.0
510,54,653,0.0
511,55,67,75.0
512,55,365,50.0
513,55,622,75.0
514,55,43,75.0
515,55,287,2.5
516,55,370,17.0
517,55,487,0.0
518,55,547,0.0
519,55,696,0.0
520,56,453,150.0
521,56,67,60.0
522,56,214,100.0
523,56,263,90.0
524,56,541,22.5
525,56,442,40.0
526,56,437,17.0
527,56,547,0.0
528,56,696,0.0
529,56,712,0.0
530,56,487,0.0
531,57,34,100.0
532,57,342,45.0
533,57,566,45.0
534,57,145,10.0
535,57,418,80.0
536,57,374,25.0
537,57,297,25.0
538,57,547,0.0
539,57,696,0.0
540,57,71,2.5
541,57,113,0.0
542,58,261,125.0
543,58,706,75.0
544,58,621,50.0
545,58,698,2.5
546,58,263,60.0
547,58,297,12.5
548,58,437,8.5
549,58,547,0.0
550,58,696,0.0
551,58,403,0.0
552,59,570,180.0
553,59,9,62.5
554,59,634,2.0
555,59,463,4.0
556,59,547,0.0
557,59,696,0.0
558,59,321,0.0
559,59,420,0.0
560,59,282,0.0
561,60,560,80.0
562,60,698,10.0
563,60,437,17.0
564,60,637,45.0
565,60,80,50.0
566,60,381,1.5
567,60,547,0.0
568,60,696,0.0
569,60,482,5.0
570,60,596,0.0
571,60,17,0.0
572,60,420,0.0
573,61,622,250.0
574,61,726,60.0
575,61,304,16.0
576,61,719,250.0
577,61,482,25.0
578,61,547,0.0
579,61,431,25.0
580,61,437,17.0
581,61,59,5.0
582,61,484,0.0
583,61,522,0.0
584,62,257,125.0
585,62,726,60.0
586,62,621,50.0
587,62,365,50.0
588,62,694,40.0
589,62,453,50.0
590,62,547,0.0
591,62,297,40.0
592,62,487,0.0
593,62,374,0.0
594,63,418,240.0
595,63,631,100.0
596,63,453,60.0
597,63,621,120.0
598,63,263,30.0
599,63,547,0.0
600,63,696,0.0
601,63,403,25.0
602,63,378,7.5
603,63,712,0.0
604,63,487,0.0
605,64,548,120.0
606,64,263,30.0
607,64,329,50.0
608,64,249,50.0
609,64,431,50.0
610,64,547,0.0
611,64,482,2.5
612,64,435,1.25
613,64,437,500.0
614,64,124,0.0
615,65,67,25.0
616,65,217,25.0
617,65,492,25.0
618,65,43,50.0
619,65,621,25.0
620,65,345,25.0
621,65,128,150.0
622,65,431,0.0
623,65,637,40.0
624,65,17,5.0
625,65,547,0.0
626,65,696,0.0
627,65,482,2.5
628,65,17,0.0
629,66,21,75.0
630,66,622,75.0
631,66,179,100.0
632,66,334,1.0
633,66,250,0.0
634,66,151,0.0
635,66,21,0.0
636,67,327,200.0
637,67,263,60.0
638,67,80,100.0
639,67,431,75.0
640,67,287,0.0
641,67,547,0.0
642,67,696,0.0
643,67,437,17.0
644,67,282,0.0
645,68,169,550.0
646,68,251,0.0
647,68,461,30.0
648,68,547,0.0
649,68,696,0.0
650,68,437,250.0
651,68,558,25.0
652,68,282,0.0
653,68,397,0.0
654,69,532,100.0
655,69,431,0.0
656,69,263,30.0
657,69,417,80.0
658,69,527,25.0
659,69,534,0.0
660,70,329,100.0
661,70,21,75.0
662,70,151,20.0
663,70,402,30.0
664,70,21,0.0
665,70,340,0.0
666,70,402,0.0
667,71,21,150.0
668,71,340,50.0
669,71,520,25.0
670,71,194,0.0
671,72,369,50.0
672,72,621,100.0
673,72,527,25.0
674,72,431,50.0
675,72,680,0.0
676,72,547,0.0
677,72,463,0.0
678,73,14,50.0
679,73,405,95.0
680,73,297,12.5
